# Table 1: Net productivity, night biomass loss, growth rate
# Source: Tanaka et al. (2020) Algal Research 52: 102132
# DOI: 10.1016/j.algal.2020.102132 (OPEN ACCESS CC-BY)
# Species: Arthrospira platensis NIES-39 (from Lake Chad)
# Reactor: 1L cylindrical glass PBR, 300 umol m-2 s-1 LED
# LD cycle: 12h:12h, light temp always 35C
# Biomass maintained at 0.400 g/L semicontinuous
#
light_temp_C,dark_temp_C,areal_net_prod_g_m2_d,areal_sd,night_loss_pct_biomass,night_loss_sd,growth_rate_d-1,growth_sd
35,10,11.6,2.7,4.05,6.13,0.663,0.135
35,15,11.6,2.2,2.62,4.96,0.633,0.156
35,25,17.1,3.1,1.17,11.46,0.811,0.131
35,30,16.4,3.8,-0.25,10.82,0.750,0.076
35,35,15.4,2.2,0.83,4.88,0.748,0.103
